network	 SiouxFalls
nb_projects	 15
links_affected
0 	 5 	(1, 3);(3, 1);(12, 3);(2, 1);(1, 2);
1 	 6 	(8, 9);(5, 9);(5, 6);(6, 2);(2, 6);(8, 6);
2 	 5 	(5, 4);(4, 5);(4, 11);(4, 3);(6, 5);
3 	 5 	(9, 10);(9, 5);(10, 17);(10, 9);(9, 8);
4 	 5 	(18, 16);(7, 18);(17, 16);(8, 7);(16, 8);
5 	 6 	(23, 24);(24, 13);(23, 22);(24, 21);(20, 21);(24, 23);
6 	 5 	(7, 8);(8, 16);(6, 8);(18, 7);(16, 17);
7 	 5 	(10, 11);(10, 15);(11, 10);(15, 10);(22, 15);
8 	 5 	(13, 12);(12, 13);(11, 12);(13, 24);(12, 11);
9 	 5 	(14, 23);(23, 14);(14, 11);(22, 23);(20, 22);
10 	 5 	(3, 12);(3, 4);(11, 4);(11, 14);(15, 14);
11 	 5 	(17, 19);(19, 17);(19, 15);(15, 19);(20, 19);
12 	 5 	(18, 20);(20, 18);(22, 20);(21, 20);(19, 20);
13 	 5 	(22, 21);(21, 22);(15, 22);(21, 24);(14, 15);
14 	 4 	(16, 18);(16, 10);(10, 16);(17, 10);
