network	 BerlinMPF
nb_projects	 15
links_affected
0 	 51 	(457, 416);(314, 468);(253, 254);(701, 702);(270, 269);(702, 701);(314, 415);(271, 264);(704, 703);(413, 473);(702, 825);(415, 416);(703, 704);(468, 315);(416, 417);(264, 270);(314, 315);(310, 269);(413, 415);(313, 455);(312, 313);(417, 423);(768, 457);(202, 192);(269, 201);(423, 424);(473, 470);(313, 765);(768, 314);(254, 192);(266, 269);(422, 193);(455, 824);(193, 271);(201, 202);(455, 819);(702, 703);(193, 201);(424, 423);(424, 475);(470, 415);(314, 313);(475, 413);(192, 193);(269, 270);(423, 422);(415, 314);(456, 735);(313, 314);(700, 270);(192, 424);
1 	 51 	(242, 237);(386, 454);(221, 242);(227, 237);(133, 134);(137, 136);(220, 233);(392, 393);(226, 227);(290, 143);(337, 336);(337, 335);(143, 140);(236, 226);(237, 236);(138, 286);(336, 337);(414, 236);(140, 141);(391, 390);(335, 405);(136, 138);(394, 396);(227, 220);(335, 871);(286, 389);(405, 337);(395, 454);(397, 395);(286, 290);(418, 414);(143, 138);(387, 286);(233, 234);(334, 335);(393, 869);(332, 227);(226, 336);(290, 937);(138, 394);(237, 419);(333, 334);(234, 333);(389, 391);(414, 419);(141, 133);(419, 414);(337, 332);(388, 387);(390, 397);(396, 392);
2 	 51 	(241, 243);(223, 679);(261, 262);(231, 646);(650, 646);(385, 324);(653, 657);(262, 258);(222, 223);(302, 789);(656, 244);(262, 891);(686, 974);(258, 261);(657, 656);(661, 653);(646, 654);(229, 231);(647, 650);(258, 229);(231, 232);(662, 661);(302, 380);(654, 650);(646, 231);(223, 231);(322, 380);(660, 662);(650, 653);(223, 240);(649, 650);(243, 963);(232, 241);(244, 655);(685, 223);(243, 244);(653, 650);(679, 707);(229, 646);(380, 790);(230, 222);(653, 678);(261, 788);(231, 223);(240, 239);(381, 302);(258, 888);(239, 261);(565, 807);(655, 656);(656, 653);
3 	 41 	(810, 811);(676, 677);(910, 900);(899, 810);(723, 719);(677, 687);(723, 810);(680, 677);(682, 291);(683, 682);(687, 726);(909, 908);(910, 810);(681, 683);(465, 908);(687, 681);(291, 135);(729, 726);(725, 723);(265, 288);(708, 681);(726, 728);(465, 135);(729, 687);(733, 729);(288, 291);(681, 903);(899, 901);(904, 899);(725, 719);(810, 900);(291, 909);(719, 725);(677, 730);(900, 899);(288, 676);(724, 719);(903, 904);(706, 708);(811, 723);(901, 680);
4 	 51 	(664, 670);(675, 674);(652, 718);(672, 666);(815, 898);(651, 668);(673, 648);(902, 898);(814, 815);(906, 814);(674, 665);(669, 591);(671, 672);(659, 651);(659, 907);(665, 663);(645, 670);(669, 667);(670, 673);(907, 816);(588, 589);(588, 659);(652, 664);(813, 816);(664, 663);(718, 235);(815, 813);(645, 664);(898, 906);(905, 906);(668, 672);(246, 235);(667, 671);(668, 588);(651, 652);(691, 692);(699, 246);(666, 591);(695, 691);(812, 815);(816, 651);(666, 667);(816, 907);(589, 590);(663, 668);(671, 588);(648, 658);(692, 659);(898, 911);(695, 699);(907, 902);
5 	 50 	(189, 210);(204, 219);(214, 205);(210, 218);(119, 180);(547, 146);(210, 211);(115, 429);(219, 168);(144, 145);(183, 115);(205, 204);(179, 189);(180, 181);(183, 555);(204, 205);(214, 219);(308, 309);(197, 214);(205, 212);(309, 210);(430, 119);(197, 168);(213, 218);(157, 189);(181, 183);(430, 429);(183, 180);(168, 157);(178, 179);(157, 184);(206, 212);(168, 144);(181, 178);(189, 197);(212, 206);(218, 210);(219, 214);(307, 308);(429, 545);(309, 922);(429, 130);(545, 644);(206, 204);(146, 157);(209, 213);(218, 197);(184, 183);(210, 309);(551, 183);
6 	 51 	(438, 439);(458, 459);(431, 441);(459, 447);(437, 444);(447, 890);(447, 696);(432, 442);(434, 104);(434, 437);(459, 434);(447, 448);(463, 432);(463, 581);(433, 434);(442, 443);(437, 443);(460, 461);(440, 379);(441, 440);(447, 463);(463, 447);(440, 441);(377, 961);(464, 463);(432, 467);(439, 441);(464, 689);(441, 432);(379, 440);(443, 460);(448, 466);(103, 434);(103, 377);(377, 379);(462, 463);(104, 103);(379, 542);(440, 438);(434, 459);(461, 458);(432, 969);(379, 377);(443, 432);(438, 434);(438, 103);(432, 431);(444, 460);(441, 438);(463, 464);(466, 459);
7 	 51 	(340, 345);(207, 503);(508, 445);(508, 957);(173, 217);(399, 501);(217, 352);(338, 957);(338, 339);(350, 351);(339, 342);(208, 436);(173, 446);(173, 172);(339, 338);(349, 338);(172, 173);(340, 341);(346, 349);(399, 500);(338, 347);(208, 188);(345, 346);(215, 207);(400, 399);(508, 505);(339, 491);(347, 348);(215, 208);(349, 350);(345, 504);(208, 215);(350, 349);(351, 344);(172, 606);(349, 504);(172, 215);(344, 340);(343, 339);(399, 630);(352, 345);(217, 216);(188, 508);(348, 476);(508, 507);(188, 187);(188, 173);(345, 340);(207, 208);(341, 216);(342, 350);
8 	 51 	(584, 174);(139, 177);(177, 587);(586, 946);(552, 553);(616, 617);(618, 623);(203, 149);(263, 267);(273, 272);(149, 167);(557, 618);(620, 924);(553, 583);(272, 273);(618, 616);(587, 586);(620, 621);(174, 132);(167, 153);(150, 200);(164, 150);(615, 616);(150, 149);(200, 132);(174, 203);(620, 622);(616, 619);(132, 142);(613, 621);(617, 618);(273, 323);(268, 267);(616, 615);(615, 619);(149, 615);(267, 268);(268, 150);(132, 139);(614, 622);(618, 552);(267, 273);(615, 149);(149, 150);(150, 268);(142, 263);(158, 164);(557, 553);(177, 174);(583, 584);(619, 614);
9 	 51 	(289, 287);(282, 280);(277, 353);(289, 411);(110, 120);(114, 113);(111, 289);(110, 111);(407, 410);(280, 876);(362, 278);(113, 361);(116, 117);(118, 123);(123, 626);(129, 122);(357, 359);(360, 353);(120, 121);(353, 360);(127, 131);(278, 284);(359, 360);(117, 409);(128, 117);(287, 114);(362, 877);(285, 277);(121, 123);(118, 129);(282, 838);(122, 121);(355, 110);(122, 111);(278, 834);(123, 116);(131, 918);(360, 919);(117, 118);(406, 122);(284, 355);(353, 964);(121, 122);(289, 275);(111, 114);(359, 362);(353, 285);(284, 359);(361, 357);(113, 110);(287, 289);
